model_family,model_variant,context,split,rag_mode,use_rag,seed,run_id,macro_f1,micro_f1,source_file
deberta,microsoft/deberta-v3-large,doc,test,none,False,1701.0,,0.2826600751062714,0.34631116497500375,results/logs/deberta_doc_no_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,1701.0,,0.29826693432977214,0.34624662977153403,results/logs/deberta_doc_no_rag_seed1701_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,42.0,,0.27853581737826155,0.337728046703965,results/logs/deberta_doc_no_rag_seed42_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,42.0,,0.27184615769268056,0.33346963811081576,results/logs/deberta_doc_no_rag_seed42_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,none,False,7.0,,0.27838161973173464,0.334824624194703,results/logs/deberta_doc_no_rag_seed7_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,none,False,7.0,,0.28368367398414585,0.35769768900467985,results/logs/deberta_doc_no_rag_seed7_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,early,True,1701.0,,0.2814550846550844,0.3346483614749356,results/logs/deberta_doc_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,early,True,1701.0,,0.322442257296688,0.36167838952219256,results/logs/deberta_doc_rag_seed1701_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,early,True,42.0,,0.3170666991186377,0.37459218981710335,results/logs/deberta_doc_rag_seed42_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,early,True,42.0,,0.30730158560286247,0.36346448185828756,results/logs/deberta_doc_rag_seed42_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,early,True,7.0,,0.2830742952230758,0.33910295712870825,results/logs/deberta_doc_rag_seed7_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,early,True,7.0,,0.31314984893235637,0.3804720597135364,results/logs/deberta_doc_rag_seed7_test_metrics.json
deberta,microsoft/deberta-v3-large,sentence,test,none,False,1701.0,,0.24104368279429503,0.3128695735781934,results/logs/deberta_sentence_no_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-base,sentence,test,none,False,1701.0,,0.25404393250877516,0.31843375648131594,results/logs/deberta_sentence_no_rag_seed1701_test_metrics.json
deberta,microsoft/deberta-v3-large,sentence,test,none,False,42.0,,0.23835654245476814,0.29793233082706766,results/logs/deberta_sentence_no_rag_seed42_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-base,sentence,test,none,False,42.0,,0.19300242982703328,0.29265235782547394,results/logs/deberta_sentence_no_rag_seed42_test_metrics.json
deberta,microsoft/deberta-v3-large,sentence,test,none,False,7.0,,0.24655160529911857,0.31225427502250014,results/logs/deberta_sentence_no_rag_seed7_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-base,sentence,test,none,False,7.0,,0.2639886505347471,0.3159994433362712,results/logs/deberta_sentence_no_rag_seed7_test_metrics.json
deberta,microsoft/deberta-v3-large,sentence,test,early,True,1701.0,,0.2529158091305729,0.32925248451677946,results/logs/deberta_sentence_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-base,sentence,test,early,True,1701.0,,0.2689250105207319,0.333911413170846,results/logs/deberta_sentence_rag_seed1701_test_metrics.json
deberta,microsoft/deberta-v3-large,sentence,test,early,True,42.0,,0.2647564822617247,0.3363488992312922,results/logs/deberta_sentence_rag_seed42_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-base,sentence,test,early,True,42.0,,0.27447218071682333,0.3348122704069462,results/logs/deberta_sentence_rag_seed42_test_metrics.json
deberta,microsoft/deberta-v3-large,sentence,test,early,True,7.0,,0.2578105987634754,0.32953495534339394,results/logs/deberta_sentence_rag_seed7_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-base,sentence,test,early,True,7.0,,0.2748420157268201,0.3465432455886606,results/logs/deberta_sentence_rag_seed7_test_metrics.json
deberta,microsoft/deberta-v3-large,window,test,none,False,1701.0,,0.20998503864877502,0.2656428349071288,results/logs/deberta_window_no_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-base,window,test,none,False,1701.0,,0.29038515772340817,0.3448841874886011,results/logs/deberta_window_no_rag_seed1701_test_metrics.json
deberta,microsoft/deberta-v3-large,window,test,none,False,42.0,,0.20227934279984608,0.27984044185332924,results/logs/deberta_window_no_rag_seed42_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-base,window,test,none,False,42.0,,0.27905762377521526,0.3358235869957236,results/logs/deberta_window_no_rag_seed42_test_metrics.json
deberta,microsoft/deberta-v3-large,window,test,none,False,7.0,,0.20962634426079912,0.2696745307387636,results/logs/deberta_window_no_rag_seed7_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-base,window,test,none,False,7.0,,0.2712457237522624,0.33150899139953094,results/logs/deberta_window_no_rag_seed7_test_metrics.json
deberta,microsoft/deberta-v3-large,window,test,early,True,1701.0,,0.2224126400328249,0.28761804826862536,results/logs/deberta_window_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-base,window,test,early,True,1701.0,,0.30518759654083066,0.36362073411845613,results/logs/deberta_window_rag_seed1701_test_metrics.json
deberta,microsoft/deberta-v3-large,window,test,early,True,42.0,,0.24856753481651922,0.3070461969202053,results/logs/deberta_window_rag_seed42_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-base,window,test,early,True,42.0,,0.2951068886152912,0.362165342747867,results/logs/deberta_window_rag_seed42_test_metrics.json
deberta,microsoft/deberta-v3-large,window,test,early,True,7.0,,0.22228938106701665,0.2784636488340192,results/logs/deberta_window_rag_seed7_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-base,window,test,early,True,7.0,,0.3027687301273292,0.3648028374713123,results/logs/deberta_window_rag_seed7_test_metrics.json
gemma,google/gemma-3-12b-it,doc,test,none,False,,,0.18120198560905137,0.20054880896777205,results/logs/gemma_doc_no_rag_test_metrics.json
gemma,google/gemma-3-12b-it,doc,test,early,True,,,0.20231581830313808,0.22285911602209946,results/logs/gemma_doc_rag_test_metrics.json
gemma,google/gemma-3-12b-it,sentence,test,none,False,,,0.19834936957188515,0.22364448738075113,results/logs/gemma_sentence_no_rag_test_metrics.json
gemma,google/gemma-3-12b-it,sentence,test,early,True,,,0.21936551619894362,0.2466613150405021,results/logs/gemma_sentence_rag_test_metrics.json
gemma,google/gemma-3-12b-it,window,test,none,False,,,0.19394416140725831,0.20880524567827644,results/logs/gemma_window_no_rag_test_metrics.json
gemma,google/gemma-3-12b-it,window,test,early,True,,,0.21744802906122102,0.23316200520659502,results/logs/gemma_window_rag_test_metrics.json
mistral,mistralai/Mistral-Large-Instruct-2407,doc,test,none,False,,,0.20177872473278002,0.2109993068667989,results/logs/mistral_doc_no_rag_Mistral-Large-Instruct-2407_test_metrics.json
mistral,mistralai/Mistral-Large-Instruct-2407,doc,test,early,True,,,0.21968594972739375,0.23388982543912124,results/logs/mistral_doc_rag_Mistral-Large-Instruct-2407_test_metrics.json
mistral,mistralai/Mistral-Large-Instruct-2407,sentence,test,none,False,,,0.2083254500690126,0.22498597800375547,results/logs/mistral_sentence_no_rag_Mistral-Large-Instruct-2407_test_metrics.json
mistral,mistralai/Mistral-Large-Instruct-2407,sentence,test,early,True,,,0.2363110158536632,0.2560240002553218,results/logs/mistral_sentence_rag_Mistral-Large-Instruct-2407_test_metrics.json
mistral,mistralai/Mistral-Large-Instruct-2407,window,test,none,False,,,0.21588484207487516,0.23205236486486486,results/logs/mistral_window_no_rag_Mistral-Large-Instruct-2407_test_metrics.json
mistral,mistralai/Mistral-Large-Instruct-2407,window,test,early,True,,,0.24070176201699722,0.2580877498349439,results/logs/mistral_window_rag_Mistral-Large-Instruct-2407_test_metrics.json
qwen,Qwen/Qwen2.5-72B-Instruct,doc,test,none,False,,,0.17070734844793636,0.17503876258616502,results/logs/qwen_doc_no_rag_Qwen2.5-72B-Instruct_test_metrics.json
qwen,Qwen/Qwen2.5-72B-Instruct,doc,test,early,True,,,0.19360557340310458,0.20910431432240878,results/logs/qwen_doc_rag_Qwen2.5-72B-Instruct_test_metrics.json
qwen,Qwen/Qwen2.5-72B-Instruct,sentence,test,none,False,,,0.21508935641378887,0.23234987088621506,results/logs/qwen_sentence_no_rag_Qwen2.5-72B-Instruct_test_metrics.json
qwen,Qwen/Qwen2.5-72B-Instruct,sentence,test,early,True,,,0.24109104611377702,0.26417855836077575,results/logs/qwen_sentence_rag_Qwen2.5-72B-Instruct_test_metrics.json
qwen,Qwen/Qwen2.5-72B-Instruct,window,test,none,False,,,0.19322909318075818,0.19880576044959605,results/logs/qwen_window_no_rag_Qwen2.5-72B-Instruct_test_metrics.json
qwen,Qwen/Qwen2.5-72B-Instruct,window,test,early,True,,,0.2180118040928652,0.2330946913413481,results/logs/qwen_window_rag_Qwen2.5-72B-Instruct_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,cross_attention,True,1701.0,,0.27435225486925974,0.34487997569127926,results/rag_architectures/logs/deberta_doc_cross_attention_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,cross_attention,True,1701.0,,0.3040854531089843,0.36760772659732543,results/rag_architectures/logs/deberta_doc_cross_attention_rag_seed1701_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,cross_attention,True,42.0,,0.2851045904255248,0.35182986630878027,results/rag_architectures/logs/deberta_doc_cross_attention_rag_seed42_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,cross_attention,True,42.0,,0.2935618715477045,0.355895511617838,results/rag_architectures/logs/deberta_doc_cross_attention_rag_seed42_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,cross_attention,True,7.0,,0.28182654855440137,0.3464138000605266,results/rag_architectures/logs/deberta_doc_cross_attention_rag_seed7_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,cross_attention,True,7.0,,0.30584568963244224,0.3817481417177581,results/rag_architectures/logs/deberta_doc_cross_attention_rag_seed7_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,late,True,1701.0,,0.2805028979901024,0.34502696391838544,results/rag_architectures/logs/deberta_doc_late_rag_seed1701_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,late,True,1701.0,,0.28257412711353974,0.34235976789168276,results/rag_architectures/logs/deberta_doc_late_rag_seed1701_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,late,True,42.0,,0.2848264287710178,0.34758819294456444,results/rag_architectures/logs/deberta_doc_late_rag_seed42_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,late,True,42.0,,0.29346115222707186,0.34888304862023656,results/rag_architectures/logs/deberta_doc_late_rag_seed42_test_metrics.json
deberta,microsoft/deberta-v3-large,doc,test,late,True,7.0,,0.2759834894196054,0.34947196571603495,results/rag_architectures/logs/deberta_doc_late_rag_seed7_deberta-v3-large_test_metrics.json
deberta,microsoft/deberta-v3-base,doc,test,late,True,7.0,,0.3054739102771626,0.3582903040734366,results/rag_architectures/logs/deberta_doc_late_rag_seed7_test_metrics.json
