weight_decay,batch_size,max_length,learning_rate,best_macro_f1,collapsed
0.01,8.0,512.0,1e-05,0.25008103617748983,False
0.01,8.0,1024.0,1e-05,0.2582205443216078,False
0.01,16.0,512.0,1e-05,0.2649721919697248,False
0.01,16.0,1024.0,1e-05,0.2652019832130001,False
0.1,8.0,512.0,1e-05,0.2511481730079879,False
0.1,8.0,1024.0,1e-05,0.2596864180955376,False
0.1,16.0,512.0,1e-05,0.2669401537535027,False
0.1,16.0,1024.0,1e-05,0.26618761291064036,False
0.15,8.0,512.0,1e-05,0.2614058091498417,False
0.15,8.0,1024.0,1e-05,0.25497250288370915,False
0.15,16.0,512.0,1e-05,0.2668490934332988,False
0.15,16.0,1024.0,1e-05,0.267473156136859,False
0.01,8.0,512.0,2e-05,0.0,False
0.01,8.0,1024.0,2e-05,0.0,False
0.01,16.0,512.0,2e-05,0.24911663161792608,False
0.01,16.0,1024.0,2e-05,0.24487539403520645,False
0.1,8.0,512.0,2e-05,0.05333015894740303,False
0.1,8.0,1024.0,2e-05,0.23633365427314826,False
0.1,16.0,512.0,2e-05,0.2389816050943691,False
0.1,16.0,1024.0,2e-05,0.24635245589116453,False
0.15,8.0,512.0,2e-05,0.0,False
0.15,8.0,1024.0,2e-05,0.22478803168597597,False
0.15,16.0,512.0,2e-05,0.254338312412192,False
0.15,16.0,1024.0,2e-05,0.2492070093333276,False
0.01,8.0,512.0,3e-05,0.0,False
0.01,8.0,1024.0,3e-05,0.0,False
0.01,16.0,512.0,3e-05,0.0,False
0.01,16.0,1024.0,3e-05,0.0,False
0.1,8.0,512.0,3e-05,0.0,False
0.1,8.0,1024.0,3e-05,0.0,False
0.1,16.0,512.0,3e-05,0.09555753410830299,False
0.1,16.0,1024.0,3e-05,0.2055026520131585,False
0.15,8.0,512.0,3e-05,0.0,False
0.15,8.0,1024.0,3e-05,0.0,False
0.15,16.0,512.0,3e-05,0.0,False
0.15,16.0,1024.0,3e-05,0.0,False
